ID;Land;;
1;Albanië;;
2;Algerije;;
3;Andorra;;
4;Angola;;
5;Antigua en Barbuda;;
6;Argentinië;;
7;Armenië;;
8;Australië;;
9;Azerbeidzjan;;
10;Bahamas;;
11;Bahrein;;
12;Bangladesh;;
13;Barbados;;
14;België;;
15;Belize;;
16;Benin;;
17;Bhutan;;
18;Bolivia;;
19;Bosnië en Herzegovina;;
20;Botswana;;
21;Brazilië;;
22;Brunei;;
23;Bulgarije;;
24;Burkina Faso;;
25;Burundi;;
26;Cambodja;;
27;Canada;;
28;Centraal-Afrikaanse Republiek;;
29;Chili;;
30;China;;
31;Colombia;;
32;de Comoren;;
33;Congo-Brazzaville;;
34;Congo-Kinshasa;;
35;Costa Rica;;
36;Cuba;;
37;Cyprus;;
38;Denemarken;;
39;Djibouti;;
40;Dominica;;
41;Dominicaanse Republiek;;
42;Duitsland;;
43;Ecuador;;
44;Egypte;;
45;El Salvador;;
46;Equatoriaal-Guinea;;
47;Eritrea;;
48;Estland;;
49;Ethiopië;;
50;Fiji;;
51;Filipijnen;;
52;Finland;;
53;Frankrijk;;
54;Gabon;;
55;Gambia;;
56;Georgië;;
57;Ghana;;
58;Grenada;;
59;Griekenland;;
60;Guatemala;;
61;Guinee;;
62;Guinee-Bissau;;
63;Guyana;;
64;Haïti;;
65;Honduras;;
66;Hongarije;;
67;Ierland;;
68;IJsland;;
69;India;;
70;Indonesië;;
71;Irak;;
72;Iran;;
73;Israël;;
74;Italië;;
75;Ivoorkust;;
76;Jamaica;;
77;Japan;;
78;Jemen;;
79;Jordanië;;
80;Kaapverdië;;
81;Kameroen;;
82;Kazachstan;;
83;Kenia;;
84;Kirgizië;;
85;Kiribati;;
86;Koeweit;;
87;Kroatië;;
88;Laos;;
89;Lesotho;;
90;Letland;;
91;Libanon;;
92;Liberia;;
93;Libië;;
94;Liechtenstein;;
95;Litouwen;;
96;Luxemburg;;
97;Macedonië;;
98;Madagaskar;;
99;Malawi;;
100;Maldiven;;
101;Maleisië;;
102;Mali;;
103;Malta;;
104;Marokko;;
105;Marshalleilanden;;
106;Mauritanië;;
107;Mauritius;;
108;Mexico;;
109;Micronesia;;
110;Moldavië;;
111;Monaco;;
112;Mongolië;;
113;Montenegro;;
114;Mozambique;;
115;Myanmar;;
116;Namibië;;
117;Nauru;;
118;Nederland;;
119;Nepal;;
120;Nicaragua;;
121;Nieuw-Zeeland;;
122;Niger;;
123;Nigeria;;
124;Noord-Korea;;
125;Noorwegen;;
126;Oeganda;;
127;Oekraïne;;
128;Oezbekistan;;
129;Oman;;
130;Oost-Timor;;
131;Oostenrijk;;
132;Pakistan;;
133;Palau;;
134;Panama;;
135;Papoea-Nieuw-Guinea;;
136;Paraguay;;
137;Peru;;
138;Polen;;
139;Portugal;;
140;Qatar;;
141;Roemenië;;
142;Rusland;;
143;Rwanda;;
144;Saint Kitts en Nevis;;
145;SaintLucia;;
146;Saint Vincent en de Grenadines;;
147;Salomonseilanden;;
148;Samoa;;
149;San Marino;;
150;Saoedi-Arabië;;
151;Sao Tomé en Principe;;
152;Senegal;;
153;Servië;;
154;Seychellen;;
155;Sierra Leone;;
156;Singapore;;
157;Slovenië;;
158;Slowakije;;
159;Somalië;;
160;Spanje;;
161;Sri Lanka;;
162;Soedan;;
163;Suriname;;
164;Swaziland;;
165;Syrië;;
166;Tadzjikistan;;
167;Tanzania;;
168;Thailand;;
169;Togo;;
170;Tonga;;
171;Trinidad en Tobago;;
172;Tsjaad;;
173;Tsjechië;;
174;Tunesië;;
175;Turkije;;
176;Turkmenistan;;
177;Tuvalu;;
178;Uruguay;;
179;Vanuatu;;
180;Vaticaanstad;;
181;Venezuela;;
182;Verenigde Arabische Emiraten;;
183;Verenigd Koninkrijk;;
184;Verenigde Staten;;
185;Vietnam;;
186;Wit-Rusland;;
187;Zambia;;
188;Zimbabwe;;
189;Zuid-Afrika;;
190;Zuid-Korea;;
191;Zweden;;
192;Zwitserland;;
193;Taiwan;;